Incident_ID,Company_Name,Industry,Attack_Type,Date_of_Incident,Breach_Size,Financial_Loss,Country,Attack_Vector,Mitigation_Time,Year,Month,Day
107,"Miller, Waters And Allen",Retail,Ransomware,2019-10-14,2716354.0,4006612.07,Sweden,Phishing,9,2019,10,14
108,Wood-Martin,Healthcare,Supply Chain Attack,2018-12-09,2546910.0,4630639.53,France,DDoS Attack,36,2018,12,9
109,Foster-Robinson,Finance,Supply Chain Attack,2019-03-08,761116.0,426386.17,Sweden,Phishing,48,2019,3,8
110,Daniels Group,Telecommunications,Malware,2019-05-02,9897931.0,591292.87,Netherlands,Phishing,21,2019,5,2
111,Hughes Inc,Healthcare,Ransomware,2019-08-23,1169428.0,3601077.71,Netherlands,Phishing,59,2019,8,23
112,"Martin, Mitchell And Perez",Telecommunications,Ransomware,2019-09-23,4950575.0,4035940.27,Netherlands,DDoS Attack,49,2019,9,23
113,"Scott, Vasquez And Pitts",Manufacturing,Ransomware,2018-05-25,5815174.0,3017568.1,Belgium,DDoS Attack,13,2018,5,25
114,Ayers Plc,Retail,Ransomware,2018-05-18,879790.0,2757100.68,Spain,Phishing,55,2018,5,18
115,Thomas-Rodriguez,Finance,Malware,2019-02-14,1789871.0,1456112.27,Belgium,Compromised Vendor,5,2019,2,14
116,Wilkinson-Kim,Retail,Malware,2019-03-05,4950575.0,349481.1,Netherlands,DDoS Attack,6,2019,3,5
117,Schwartz Ltd,Retail,Ransomware,2019-09-13,4950575.0,1615341.06,Netherlands,Spear Phishing,45,2019,9,13
118,"Elliott, Phillips And Mcdowell",Tech,Ransomware,2019-09-13,4804305.0,3647453.74,Uk,Phishing,5,2019,9,13
119,Hunt Llc,Telecommunications,Ransomware,2018-11-26,926090.0,599724.55,Uk,Phishing,59,2018,11,26
120,"Mcneil, Hall And Chambers",Manufacturing,Denial of Service,2019-08-03,9139405.0,1828575.79,Denmark,Phishing,23,2019,8,3
121,Lawrence-Walker,Healthcare,Malware,2019-05-05,284026.0,2485866.12,Uk,Spear Phishing,27,2019,5,5
122,"Campbell, Adkins And Grant",Telecommunications,Data Breach,2019-11-28,7187860.0,3332893.8,Belgium,DDoS Attack,54,2019,11,28
123,Stephens-Hughes,Healthcare,Phishing,2018-12-07,5032580.0,1422415.59,Netherlands,DDoS Attack,30,2018,12,7
124,"Gill, Johnson And Adams",Manufacturing,Ransomware,2018-08-16,1971855.0,3829032.4,Uk,Phishing,43,2018,8,16
125,"Scott, Hall And Lane",Manufacturing,Data Breach,2019-08-04,7778386.0,2917759.63,Denmark,Compromised Vendor,38,2019,8,4
126,Torres Group,Healthcare,Phishing,2018-12-21,4734849.0,3923181.3,Spain,Insider Threat,39,2018,12,21
127,Hughes Ltd,Healthcare,Malware,2019-08-26,4950575.0,1638092.1,Spain,DDoS Attack,7,2019,8,26
128,Thompson Plc,Telecommunications,Ransomware,2019-11-05,1932076.0,3385857.05,Belgium,Phishing,52,2019,11,5
129,Kim-Arroyo,Manufacturing,Data Breach,2018-09-04,4501328.0,3532243.3,Belgium,Spear Phishing,34,2018,9,4
130,"Kim, Gonzales And Romero",Healthcare,Data Breach,2019-09-02,4576391.0,4107034.91,Sweden,Compromised Vendor,37,2019,9,2
131,Williams Ltd,Manufacturing,Ransomware,2018-10-25,8734184.0,2680069.57,Uk,Compromised Vendor,44,2018,10,25
132,"Gilbert, Smith And Vaughan",Manufacturing,Supply Chain Attack,2019-03-30,5363606.0,4373760.42,Sweden,Phishing,58,2019,3,30
133,Hansen-Riley,Healthcare,Supply Chain Attack,2018-11-18,3768943.0,3676840.79,France,Phishing,23,2018,11,18
134,Kennedy-Velasquez,Manufacturing,Phishing,2018-04-07,8385813.0,2391942.14,Uk,Insider Threat,41,2018,4,7
135,Pacheco Plc,Retail,Data Breach,2019-01-27,8626234.0,4323611.36,Sweden,Insider Threat,47,2019,1,27
136,Parks Plc,Healthcare,Denial of Service,2019-12-26,7791595.0,4226558.95,Netherlands,Phishing,50,2019,12,26
137,White Group,Tech,Supply Chain Attack,2018-04-27,3672851.0,1649427.68,Spain,DDoS Attack,58,2018,4,27
138,"Wilson, Brady And Mckenzie",Healthcare,Phishing,2019-04-26,1354042.0,2839634.86,Uk,Spear Phishing,53,2019,4,26
139,Johnson Ltd,Retail,Ransomware,2019-06-24,8601744.0,4729317.16,France,Phishing,18,2019,6,24
140,Drake And Sons,Retail,Ransomware,2019-05-02,4950575.0,2611589.45,Sweden,Compromised Vendor,57,2019,5,2
141,Rodriguez Plc,Manufacturing,Malware,2018-11-06,8491911.0,3992040.94,Belgium,DDoS Attack,44,2018,11,6
142,Carter-Adams,Healthcare,Ransomware,2019-02-02,9737186.0,3799738.83,Belgium,Phishing,31,2019,2,2
143,Webb-Chan,Manufacturing,Denial of Service,2018-03-06,5380174.0,3276745.58,Belgium,Compromised Vendor,47,2018,3,6
144,Pitts-Hudson,Manufacturing,Phishing,2018-05-26,398087.0,4131657.73,Sweden,Phishing,41,2018,5,26
145,Lynch Inc,Retail,Denial of Service,2018-02-12,4252065.0,1360915.65,Spain,Compromised Vendor,28,2018,2,12
146,Simpson Inc,Manufacturing,Ransomware,2018-04-21,8022335.0,4951270.69,Italy,DDoS Attack,43,2018,4,21
147,"Hawkins, Craig And Estrada",Healthcare,Data Breach,2018-12-10,4950575.0,2794917.93,Belgium,Insider Threat,43,2018,12,10
148,"Dominguez, Thomas And Lopez",Telecommunications,Malware,2018-04-20,4656107.0,1419747.31,Poland,DDoS Attack,58,2018,4,20
149,Long-Mullen,Healthcare,Ransomware,2018-05-30,5977143.0,2605073.67,Belgium,Spear Phishing,44,2018,5,30
150,Burnett-Hart,Retail,Supply Chain Attack,2018-10-11,8974418.0,2284538.34,Sweden,DDoS Attack,42,2018,10,11
151,Pena Plc,Telecommunications,Data Breach,2019-05-30,4950575.0,2143461.41,Belgium,Phishing,21,2019,5,30
152,Dominguez Plc,Finance,Supply Chain Attack,2019-12-25,3512674.0,2196238.38,Belgium,Insider Threat,14,2019,12,25
153,"Willis, Underwood And Charles",Retail,Data Breach,2019-09-09,9059688.0,3515140.93,France,Insider Threat,46,2019,9,9
154,"George, Scott And King",Tech,Data Breach,2019-10-09,7891643.0,1939426.22,Italy,DDoS Attack,16,2019,10,9
155,"Mills, Greene And Alvarez",Healthcare,Phishing,2019-11-27,261198.0,4240834.06,Italy,DDoS Attack,16,2019,11,27
156,Wallace-Miller,Healthcare,Ransomware,2018-05-28,113878.0,3608660.2,Belgium,Insider Threat,42,2018,5,28
157,Vazquez Group,Retail,Data Breach,2019-08-24,7604884.0,2432334.82,Spain,DDoS Attack,18,2019,8,24
158,Rivas-Carpenter,Finance,Ransomware,2018-07-23,537469.0,3231332.12,Italy,DDoS Attack,55,2018,7,23
159,Johnson-Proctor,Tech,Denial of Service,2018-11-11,5036922.0,4944373.3,Spain,Phishing,6,2018,11,11
160,Washington-Wright,Healthcare,Ransomware,2019-08-16,5486701.0,4814537.46,Netherlands,Compromised Vendor,60,2019,8,16
161,Rivas Llc,Healthcare,Data Breach,2019-01-30,6920075.0,3796988.76,Belgium,DDoS Attack,19,2019,1,30
162,Reynolds-Brown,Retail,Supply Chain Attack,2019-03-28,6629285.0,402823.73,Spain,Compromised Vendor,28,2019,3,28
163,"Richards, Glover And Moore",Retail,Ransomware,2018-06-07,8942389.0,4507194.79,Belgium,DDoS Attack,53,2018,6,7
164,"Reynolds, Valentine And Fox",Retail,Ransomware,2018-11-27,6417180.0,1794546.86,Uk,DDoS Attack,24,2018,11,27
165,Young Ltd,Retail,Ransomware,2018-12-24,9172222.0,4250616.02,Denmark,Phishing,52,2018,12,24
166,"Warren, Burgess And Taylor",Healthcare,Ransomware,2019-03-26,602358.0,1986173.99,Italy,Phishing,6,2019,3,26
167,Potter-Hinton,Retail,Data Breach,2018-02-14,1387408.0,1657861.38,Belgium,Phishing,40,2018,2,14
168,"Sullivan, Howard And Savage",Retail,Supply Chain Attack,2019-03-06,4986833.0,4905501.48,Uk,Insider Threat,55,2019,3,6
169,Wilson Inc,Tech,Data Breach,2018-12-07,9876425.0,2421182.06,Sweden,Compromised Vendor,47,2018,12,7
170,Robinson-Henderson,Retail,Ransomware,2018-11-07,6126805.0,720421.56,Sweden,Phishing,11,2018,11,7
171,Moore Group,Manufacturing,Denial of Service,2018-11-24,8626895.0,1239992.94,Sweden,Insider Threat,40,2018,11,24
172,Hogan-Vaughn,Telecommunications,Malware,2018-12-06,4950575.0,247813.41,Spain,Compromised Vendor,14,2018,12,6
173,Myers-Mcdaniel,Healthcare,Supply Chain Attack,2018-06-25,4976893.0,1760046.02,Uk,Compromised Vendor,16,2018,6,25
174,Bowman-Rodriguez,Retail,Ransomware,2019-08-12,4950575.0,471728.35,Uk,Phishing,17,2019,8,12
175,"Ballard, Bennett And Thompson",Healthcare,Phishing,2018-06-14,666308.0,4509916.34,Spain,Phishing,50,2018,6,14
176,"Dillon, Stokes And Harris",Healthcare,Ransomware,2018-04-29,4657464.0,2873319.29,Italy,Phishing,23,2018,4,29
177,Johnston Plc,Manufacturing,Ransomware,2018-04-03,9979510.0,3011818.82,Belgium,DDoS Attack,27,2018,4,3
178,"Gentry, Hall And Christensen",Manufacturing,Data Breach,2019-11-21,4950575.0,3451648.81,Sweden,DDoS Attack,51,2019,11,21
179,"Jones, Ryan And Bailey",Healthcare,Data Breach,2019-04-14,591084.0,870590.73,France,Compromised Vendor,21,2019,4,14
180,Morgan Inc,Telecommunications,Ransomware,2019-11-07,3997401.0,1269508.09,Sweden,Phishing,24,2019,11,7
181,Nixon-Nelson,Manufacturing,Data Breach,2019-07-11,608584.0,1466642.02,France,Phishing,49,2019,7,11
182,"Stout, Lozano And Morgan",Healthcare,Supply Chain Attack,2018-05-24,8565361.0,3220787.15,Italy,Phishing,35,2018,5,24
183,Clark Llc,Manufacturing,Phishing,2019-11-30,6354186.0,4588682.69,Netherlands,Phishing,6,2019,11,30
184,Smith-Obrien,Manufacturing,Phishing,2019-09-04,6144307.0,1724433.87,Belgium,Compromised Vendor,58,2019,9,4
185,Glover Ltd,Finance,Ransomware,2019-12-14,1764009.0,2062669.73,Belgium,DDoS Attack,27,2019,12,14
186,Murray-Smith,Manufacturing,Denial of Service,2019-09-13,201793.0,1455840.25,Uk,Phishing,59,2019,9,13
187,Peters-Henderson,Manufacturing,Ransomware,2019-03-27,1432860.0,4007975.77,Sweden,Compromised Vendor,53,2019,3,27
188,"Anthony, Crawford And Sellers",Retail,Data Breach,2018-08-24,1476817.0,1243688.92,Italy,Compromised Vendor,23,2018,8,24
189,Sharp Ltd,Tech,Phishing,2019-05-29,3496822.0,2438408.9,Poland,Spear Phishing,8,2019,5,29
190,"Ayala, Cruz And Boone",Retail,Supply Chain Attack,2018-01-03,1092190.0,224188.28,Uk,Spear Phishing,8,2018,1,3
191,Neal Ltd,Telecommunications,Data Breach,2019-01-25,8187162.0,1350347.66,Sweden,DDoS Attack,50,2019,1,25
192,Deleon-Taylor,Telecommunications,Phishing,2019-12-14,420117.0,4508898.48,Italy,DDoS Attack,44,2019,12,14
193,Nelson Plc,Manufacturing,Ransomware,2018-09-21,2024836.0,2474596.18,Uk,Phishing,29,2018,9,21
194,Morgan-Kelley,Retail,Ransomware,2019-08-02,4950575.0,2726771.92,Uk,Phishing,48,2019,8,2
195,Fleming Ltd,Healthcare,Data Breach,2018-09-29,9548541.0,2409553.15,Belgium,Compromised Vendor,16,2018,9,29
196,"Booth, Jensen And Hinton",Healthcare,Ransomware,2019-04-28,1556180.0,4253822.37,Spain,Compromised Vendor,29,2019,4,28
197,Harris-James,Retail,Data Breach,2019-03-15,4950575.0,1585089.32,Belgium,Phishing,19,2019,3,15
198,Moore And Sons,Manufacturing,Phishing,2019-11-16,3977770.0,144237.77,Poland,DDoS Attack,31,2019,11,16
199,Brown-Castro,Healthcare,Ransomware,2019-04-25,2792045.0,1358653.51,Spain,Phishing,22,2019,4,25
200,Bennett-Jacobs,Healthcare,Ransomware,2019-02-02,5673653.0,4379876.78,Italy,DDoS Attack,35,2019,2,2
201,Martinez-Weaver,Manufacturing,Ransomware,2018-02-22,7562973.0,259462.66,Belgium,DDoS Attack,35,2018,2,22
202,"Moon, Beasley And Fry",Healthcare,Denial of Service,2018-11-12,6067670.0,308457.75,Spain,Phishing,41,2018,11,12
203,"Jones, Contreras And Griffin",Healthcare,Ransomware,2018-09-30,6796547.0,3708657.7,Belgium,DDoS Attack,32,2018,9,30
204,Lucero Plc,Telecommunications,Ransomware,2019-10-18,6324525.0,4042998.04,Belgium,Compromised Vendor,11,2019,10,18
205,White Llc,Manufacturing,Denial of Service,2019-03-17,7143624.0,4855138.07,Belgium,Spear Phishing,55,2019,3,17
206,Henry Inc,Healthcare,Ransomware,2018-01-12,5728262.0,1032782.65,Uk,Compromised Vendor,27,2018,1,12
207,Wilson-Richards,Retail,Supply Chain Attack,2018-04-29,5429751.0,4213967.35,Netherlands,DDoS Attack,15,2018,4,29
208,Cole Ltd,Manufacturing,Data Breach,2019-04-13,677594.0,4096763.22,Uk,Phishing,52,2019,4,13
209,"Wright, Gonzalez And Watson",Manufacturing,Data Breach,2019-06-17,9533514.0,4273156.93,Netherlands,Phishing,23,2019,6,17
210,Thompson-Johnson,Manufacturing,Supply Chain Attack,2019-07-03,2847188.0,3324935.52,Belgium,Phishing,52,2019,7,3
211,Perry-Scott,Tech,Denial of Service,2019-07-11,1958589.0,4950672.06,Belgium,Spear Phishing,27,2019,7,11
212,Wilson-Ruiz,Manufacturing,Malware,2018-06-14,4640801.0,166567.33,Belgium,Phishing,30,2018,6,14
213,"Maldonado, Kennedy And Caldwell",Healthcare,Denial of Service,2018-08-21,138987.0,748372.92,Sweden,DDoS Attack,52,2018,8,21
214,Sims Llc,Healthcare,Data Breach,2018-12-06,2620740.0,4437719.7,Sweden,DDoS Attack,44,2018,12,6
215,Vaughan Group,Healthcare,Data Breach,2018-02-15,4950575.0,4987078.99,Belgium,DDoS Attack,14,2018,2,15
216,Smith-Hamilton,Retail,Data Breach,2019-06-23,5759470.0,4086315.91,Uk,DDoS Attack,39,2019,6,23
217,Cruz Llc,Healthcare,Ransomware,2018-08-25,715132.0,4862394.06,Sweden,Phishing,22,2018,8,25
