Incident ID,Company Name,Industry,Attack Type,Date of Incident,Breach Size (No. of Records),Financial Loss (USD),Country,Attack Vector,Mitigation Time (Days)
72,"Wilson, Shields and Taylor",Retail,Ransomware,2018-07-06,7189422.0,1086746.1749999998,Sweden,Insider Threat,34.4
73,"Taylor, Kerr and Cole",Telecommunications,Data Breach,2018-04-03,7254433.0,826976.88,Netherlands,Compromised Vendor,29.700000000000003
74,"Patel, White and Ramsey",Healthcare,Supply Chain Attack,2018-10-23,9589930.0,3439419.78,Netherlands,Phishing,84.0
75,Cruz-Smith,Healthcare,Supply Chain Attack,2019-01-25,537494.0,1241432.2,UK,Spear Phishing,42.0
76,Knight and Sons,Tech,Ransomware,2019-10-29,5678320.0,3783736.99,Netherlands,Phishing,43.0
77,Lara Group,Retail,Denial of Service,2018-02-03,2448615.0,6464461.875,Sweden,Phishing,15.200000000000001
78,Carter PLC,Manufacturing,Malware,2018-12-09,218945.0,3067632.737,Germany,Compromised Vendor,19.599999999999998
79,Murray Ltd,Manufacturing,Phishing,2018-07-11,5242358.0,3784026.649,Spain,Spear Phishing,11.2
80,Johnson Inc,Healthcare,Data Breach,2019-05-12,398842.0,3569250.98,Spain,Compromised Vendor,45.0
81,Wilkerson Group,Retail,Ransomware,2019-05-03,3045412.0,333367.815,UK,DDoS Attack,25.6
82,"Clayton, Moore and Smith",Retail,Ransomware,2019-01-16,,4117248.9749999996,Spain,Compromised Vendor,8.8
83,Campbell-Cooley,Tech,Data Breach,2019-08-29,3726555.0,3181144.93,Sweden,Phishing,32.0
84,Austin-Fowler,Healthcare,Data Breach,2019-10-19,5029177.0,5564486.62,Belgium,Phishing,34.5
85,"Brown, Meza and Leonard",Healthcare,Ransomware,2018-05-19,9074439.0,4527273.76,UK,Phishing,85.5
86,"Parker, Walker and Horn",Retail,Data Breach,2019-07-16,1757491.0,5196122.28,Belgium,Compromised Vendor,36.800000000000004
87,Werner Ltd,Healthcare,Malware,2018-10-31,303710.0,7799621.66,Sweden,Phishing,64.5
88,Hebert LLC,Manufacturing,Ransomware,2019-12-29,5187889.0,3102014.4350000005,Belgium,Compromised Vendor,25.2
89,Sharp-Perry,Retail,Malware,2018-12-12,8126724.0,2528484.7199999997,Belgium,Phishing,32.0
90,"Marshall, Lowe and Allison",Telecommunications,Phishing,2019-01-06,6634216.0,214576.5,Belgium,DDoS Attack,47.300000000000004
91,Tate-Kemp,Healthcare,Malware,2019-07-21,7527534.0,5368822.84,Belgium,DDoS Attack,73.5
92,Medina-Taylor,Manufacturing,Supply Chain Attack,2019-09-24,2399094.0,2820342.2520000003,UK,Phishing,50.4
93,"Schaefer, Allen and Burke",Tech,Supply Chain Attack,2019-01-26,8627454.0,1398876.35,Spain,Phishing,57.0
94,"Allen, Figueroa and Morales",Healthcare,Data Breach,2018-10-21,,7060352.24,UK,Compromised Vendor,27.0
95,Lopez Inc,Manufacturing,Supply Chain Attack,2018-01-26,6365301.0,4074514.34,Netherlands,DDoS Attack,77.0
96,"Arias, Evans and Rocha",Retail,Phishing,2019-10-17,9391391.0,5981593.9799999995,Netherlands,Phishing,23.200000000000003
97,Holt-Williams,Manufacturing,Supply Chain Attack,2019-08-27,7500752.0,1061200.868,Spain,DDoS Attack,54.599999999999994
98,Vasquez Group,Retail,Supply Chain Attack,2018-12-04,8129984.0,2090302.2600000002,UK,DDoS Attack,10.4
99,Joseph and Sons,Healthcare,Data Breach,2019-03-22,4421212.0,3037825.14,Belgium,Spear Phishing,34.5
100,Moore-Salazar,Healthcare,Ransomware,2018-01-22,4146245.0,4602956.74,Italy,DDoS Attack,42.0
101,Tucker Ltd,Manufacturing,Phishing,2018-05-08,,2450950.619,UK,DDoS Attack,11.2
102,Johnson Group,Healthcare,Ransomware,2018-02-07,8213149.0,4645264.74,Italy,DDoS Attack,24.0
103,"Wong, White and Tran",Healthcare,Data Breach,2019-01-02,,5190685.62,Belgium,Compromised Vendor,28.5
104,"Armstrong, Hayes and Kramer",Telecommunications,Supply Chain Attack,2019-03-26,1173390.0,2117249.472,Belgium,DDoS Attack,9.9
105,Rivera-Reid,Retail,Supply Chain Attack,2019-06-09,,7305606.915000001,Sweden,Compromised Vendor,4.0
106,"Henson, Sullivan and Williams",Telecommunications,Phishing,2018-12-06,,1040081.292,UK,Compromised Vendor,12.100000000000001
107,"Miller, Waters and Allen",Retail,Ransomware,2019-10-14,2716354.0,6009918.1049999995,Sweden,Phishing,7.2
108,Wood-Martin,Healthcare,Supply Chain Attack,2018-12-09,2546910.0,9261279.06,France,DDoS Attack,54.0
109,Foster-Robinson,Finance,Supply Chain Attack,2019-03-08,761116.0,426386.17,Sweden,Phishing,48.0
110,Daniels Group,Telecommunications,Malware,2019-05-02,9897931.0,709551.444,Netherlands,Phishing,23.1
111,Hughes Inc,Healthcare,Ransomware,2019-08-23,1169428.0,7202155.42,Netherlands,Phishing,88.5
112,"Martin, Mitchell and Perez",Telecommunications,Ransomware,2019-09-23,,4843128.324,Netherlands,DDoS Attack,53.900000000000006
113,"Scott, Vasquez and Pitts",Manufacturing,Ransomware,2018-05-25,5815174.0,3922838.5300000003,Belgium,DDoS Attack,18.2
114,Ayers PLC,Retail,Ransomware,2018-05-18,879790.0,4135651.0200000005,Spain,Phishing,44.0
115,Thomas-Rodriguez,Finance,Malware,2019-02-14,1789871.0,1456112.27,Belgium,Compromised Vendor,5.0
116,Wilkinson-Kim,Retail,Malware,2019-03-05,,524221.64999999997,Netherlands,DDoS Attack,4.800000000000001
117,Schwartz Ltd,Retail,Ransomware,2019-09-13,,2423011.59,Netherlands,Spear Phishing,36.0
118,"Elliott, Phillips and Mcdowell",Tech,Ransomware,2019-09-13,4804305.0,3647453.74,UK,Phishing,5.0
119,Hunt LLC,Telecommunications,Ransomware,2018-11-26,926090.0,719669.4600000001,UK,Phishing,64.9
120,"Mcneil, Hall and Chambers",Manufacturing,Denial of Service,2019-08-03,9139405.0,2377148.5270000002,Denmark,Phishing,32.199999999999996
121,Lawrence-Walker,Healthcare,Malware,2019-05-05,284026.0,4971732.24,UK,Spear Phishing,40.5
122,"Campbell, Adkins and Grant",Telecommunications,Data Breach,2019-11-28,7187860.0,3999472.5599999996,Belgium,DDoS Attack,59.400000000000006
123,Stephens-Hughes,Healthcare,Phishing,2018-12-07,5032580.0,2844831.18,Netherlands,DDoS Attack,45.0
124,"Gill, Johnson and Adams",Manufacturing,Ransomware,2018-08-16,1971855.0,4977742.12,UK,Phishing,60.199999999999996
125,"Scott, Hall and Lane",Manufacturing,Data Breach,2019-08-04,7778386.0,3793087.519,Denmark,Compromised Vendor,53.199999999999996
126,Torres Group,Healthcare,Phishing,2018-12-21,4734849.0,7846362.6,Spain,Insider Threat,58.5
127,Hughes Ltd,Healthcare,Malware,2019-08-26,,3276184.2,Spain,DDoS Attack,10.5
128,Thompson PLC,Telecommunications,Ransomware,2019-11-05,1932076.0,4063028.4599999995,Belgium,Phishing,57.2
129,Kim-Arroyo,Manufacturing,Data Breach,2018-09-04,4501328.0,4591916.29,Belgium,Spear Phishing,47.599999999999994
130,"Kim, Gonzales and Romero",Healthcare,Data Breach,2019-09-02,4576391.0,8214069.82,Sweden,Compromised Vendor,55.5
131,Williams Ltd,Manufacturing,Ransomware,2018-10-25,8734184.0,3484090.441,UK,Compromised Vendor,61.599999999999994
132,"Gilbert, Smith and Vaughan",Manufacturing,Supply Chain Attack,2019-03-30,5363606.0,5685888.546,Sweden,Phishing,81.19999999999999
133,Hansen-Riley,Healthcare,Supply Chain Attack,2018-11-18,3768943.0,7353681.58,France,Phishing,34.5
134,Kennedy-Velasquez,Manufacturing,Phishing,2018-04-07,8385813.0,3109524.782,UK,Insider Threat,57.4
135,Pacheco PLC,Retail,Data Breach,2019-01-27,8626234.0,6485417.040000001,Sweden,Insider Threat,37.6
136,Parks PLC,Healthcare,Denial of Service,2019-12-26,7791595.0,8453117.9,Netherlands,Phishing,75.0
137,White Group,Tech,Supply Chain Attack,2018-04-27,3672851.0,1649427.68,Spain,DDoS Attack,58.0
138,"Wilson, Brady and Mckenzie",Healthcare,Phishing,2019-04-26,1354042.0,5679269.72,UK,Spear Phishing,79.5
139,Johnson Ltd,Retail,Ransomware,2019-06-24,8601744.0,7093975.74,France,Phishing,14.4
140,Drake and Sons,Retail,Ransomware,2019-05-02,,3917384.1750000003,Sweden,Compromised Vendor,45.6
141,Rodriguez PLC,Manufacturing,Malware,2018-11-06,8491911.0,5189653.222,Belgium,DDoS Attack,61.599999999999994
142,Carter-Adams,Healthcare,Ransomware,2019-02-02,9737186.0,7599477.66,Belgium,Phishing,46.5
143,Webb-Chan,Manufacturing,Denial of Service,2018-03-06,5380174.0,4259769.254000001,Belgium,Compromised Vendor,65.8
144,Pitts-Hudson,Manufacturing,Phishing,2018-05-26,398087.0,5371155.049000001,Sweden,Phishing,57.4
145,Lynch Inc,Retail,Denial of Service,2018-02-12,4252065.0,2041373.4749999999,Spain,Compromised Vendor,22.400000000000002
146,Simpson Inc,Manufacturing,Ransomware,2018-04-21,8022335.0,6436651.897000001,Italy,DDoS Attack,60.199999999999996
147,"Hawkins, Craig and Estrada",Healthcare,Data Breach,2018-12-10,,5589835.86,Belgium,Insider Threat,64.5
148,"Dominguez, Thomas and Lopez",Telecommunications,Malware,2018-04-20,4656107.0,1703696.772,Poland,DDoS Attack,63.800000000000004
149,Long-Mullen,Healthcare,Ransomware,2018-05-30,5977143.0,5210147.34,Belgium,Spear Phishing,66.0
150,Burnett-Hart,Retail,Supply Chain Attack,2018-10-11,8974418.0,3426807.51,Sweden,DDoS Attack,33.6
151,Pena PLC,Telecommunications,Data Breach,2019-05-30,,2572153.6920000003,Belgium,Phishing,23.1
152,Dominguez PLC,Finance,Supply Chain Attack,2019-12-25,3512674.0,2196238.38,Belgium,Insider Threat,14.0
153,"Willis, Underwood and Charles",Retail,Data Breach,2019-09-09,9059688.0,5272711.3950000005,France,Insider Threat,36.800000000000004
154,"George, Scott and King",Tech,Data Breach,2019-10-09,7891643.0,1939426.22,Italy,DDoS Attack,16.0
155,"Mills, Greene and Alvarez",Healthcare,Phishing,2019-11-27,261198.0,8481668.12,Italy,DDoS Attack,24.0
156,Wallace-Miller,Healthcare,Ransomware,2018-05-28,113878.0,7217320.4,Belgium,Insider Threat,63.0
157,Vazquez Group,Retail,Data Breach,2019-08-24,7604884.0,3648502.2299999995,Spain,DDoS Attack,14.4
158,Rivas-Carpenter,Finance,Ransomware,2018-07-23,537469.0,3231332.12,Italy,DDoS Attack,55.0
159,Johnson-Proctor,Tech,Denial of Service,2018-11-11,5036922.0,4944373.3,Spain,Phishing,6.0
160,Washington-Wright,Healthcare,Ransomware,2019-08-16,5486701.0,9629074.92,Netherlands,Compromised Vendor,90.0
161,Rivas LLC,Healthcare,Data Breach,2019-01-30,6920075.0,7593977.52,Belgium,DDoS Attack,28.5
162,Reynolds-Brown,Retail,Supply Chain Attack,2019-03-28,6629285.0,604235.595,Spain,Compromised Vendor,22.400000000000002
163,"Richards, Glover and Moore",Retail,Ransomware,2018-06-07,8942389.0,6760792.1850000005,Belgium,DDoS Attack,42.400000000000006
164,"Reynolds, Valentine and Fox",Retail,Ransomware,2018-11-27,6417180.0,2691820.29,UK,DDoS Attack,19.200000000000003
165,Young Ltd,Retail,Ransomware,2018-12-24,9172222.0,6375924.029999999,Denmark,Phishing,41.6
166,"Warren, Burgess and Taylor",Healthcare,Ransomware,2019-03-26,602358.0,3972347.98,Italy,Phishing,9.0
167,Potter-Hinton,Retail,Data Breach,2018-02-14,1387408.0,2486792.07,Belgium,Phishing,32.0
168,"Sullivan, Howard and Savage",Retail,Supply Chain Attack,2019-03-06,4986833.0,7358252.220000001,UK,Insider Threat,44.0
169,Wilson Inc,Tech,Data Breach,2018-12-07,9876425.0,2421182.06,Sweden,Compromised Vendor,47.0
170,Robinson-Henderson,Retail,Ransomware,2018-11-07,6126805.0,1080632.34,Sweden,Phishing,8.8
171,Moore Group,Manufacturing,Denial of Service,2018-11-24,8626895.0,1611990.822,Sweden,Insider Threat,56.0
172,Hogan-Vaughn,Telecommunications,Malware,2018-12-06,,297376.092,Spain,Compromised Vendor,15.400000000000002
173,Myers-Mcdaniel,Healthcare,Supply Chain Attack,2018-06-25,4976893.0,3520092.04,UK,Compromised Vendor,24.0
174,Bowman-Rodriguez,Retail,Ransomware,2019-08-12,,707592.5249999999,UK,Phishing,13.600000000000001
175,"Ballard, Bennett and Thompson",Healthcare,Phishing,2018-06-14,666308.0,9019832.68,Spain,Phishing,75.0
176,"Dillon, Stokes and Harris",Healthcare,Ransomware,2018-04-29,4657464.0,5746638.58,Italy,Phishing,34.5
177,Johnston PLC,Manufacturing,Ransomware,2018-04-03,9979510.0,3915364.466,Belgium,DDoS Attack,37.8
178,"Gentry, Hall and Christensen",Manufacturing,Data Breach,2019-11-21,,4487143.453000001,Sweden,DDoS Attack,71.39999999999999
179,"Jones, Ryan and Bailey",Healthcare,Data Breach,2019-04-14,591084.0,1741181.46,France,Compromised Vendor,31.5
180,Morgan Inc,Telecommunications,Ransomware,2019-11-07,3997401.0,1523409.708,Sweden,Phishing,26.400000000000002
181,Nixon-Nelson,Manufacturing,Data Breach,2019-07-11,608584.0,1906634.6260000002,France,Phishing,68.6
182,"Stout, Lozano and Morgan",Healthcare,Supply Chain Attack,2018-05-24,8565361.0,6441574.3,Italy,Phishing,52.5
183,Clark LLC,Manufacturing,Phishing,2019-11-30,6354186.0,5965287.497,Netherlands,Phishing,8.399999999999999
184,Smith-Obrien,Manufacturing,Phishing,2019-09-04,6144307.0,2241764.0310000004,Belgium,Compromised Vendor,81.19999999999999
185,Glover Ltd,Finance,Ransomware,2019-12-14,1764009.0,2062669.73,Belgium,DDoS Attack,27.0
186,Murray-Smith,Manufacturing,Denial of Service,2019-09-13,201793.0,1892592.325,UK,Phishing,82.6
187,Peters-Henderson,Manufacturing,Ransomware,2019-03-27,1432860.0,5210368.501,Sweden,Compromised Vendor,74.19999999999999
188,"Anthony, Crawford and Sellers",Retail,Data Breach,2018-08-24,1476817.0,1865533.38,Italy,Compromised Vendor,18.400000000000002
189,Sharp Ltd,Tech,Phishing,2019-05-29,3496822.0,2438408.9,Poland,Spear Phishing,8.0
190,"Ayala, Cruz and Boone",Retail,Supply Chain Attack,2018-01-03,1092190.0,336282.42,UK,Spear Phishing,6.4
191,Neal Ltd,Telecommunications,Data Breach,2019-01-25,8187162.0,1620417.1919999998,Sweden,DDoS Attack,55.00000000000001
192,Deleon-Taylor,Telecommunications,Phishing,2019-12-14,420117.0,5410678.176,Italy,DDoS Attack,48.400000000000006
193,Nelson PLC,Manufacturing,Ransomware,2018-09-21,2024836.0,3216975.0340000005,UK,Phishing,40.599999999999994
194,Morgan-Kelley,Retail,Ransomware,2019-08-02,,4090157.88,UK,Phishing,38.400000000000006
195,Fleming Ltd,Healthcare,Data Breach,2018-09-29,9548541.0,4819106.3,Belgium,Compromised Vendor,24.0
196,"Booth, Jensen and Hinton",Healthcare,Ransomware,2019-04-28,1556180.0,8507644.74,Spain,Compromised Vendor,43.5
197,Harris-James,Retail,Data Breach,2019-03-15,,2377633.98,Belgium,Phishing,15.200000000000001
198,Moore and Sons,Manufacturing,Phishing,2019-11-16,3977770.0,187509.101,Poland,DDoS Attack,43.4
199,Brown-Castro,Healthcare,Ransomware,2019-04-25,2792045.0,2717307.02,Spain,Phishing,33.0
200,Bennett-Jacobs,Healthcare,Ransomware,2019-02-02,5673653.0,8759753.56,Italy,DDoS Attack,52.5
201,Martinez-Weaver,Manufacturing,Ransomware,2018-02-22,7562973.0,337301.45800000004,Belgium,DDoS Attack,49.0
202,"Moon, Beasley and Fry",Healthcare,Denial of Service,2018-11-12,6067670.0,616915.5,Spain,Phishing,61.5
203,"Jones, Contreras and Griffin",Healthcare,Ransomware,2018-09-30,6796547.0,7417315.4,Belgium,DDoS Attack,48.0
204,Lucero PLC,Telecommunications,Ransomware,2019-10-18,6324525.0,4851597.648,Belgium,Compromised Vendor,12.100000000000001
205,White LLC,Manufacturing,Denial of Service,2019-03-17,7143624.0,6311679.491,Belgium,Spear Phishing,77.0
206,Henry Inc,Healthcare,Ransomware,2018-01-12,5728262.0,2065565.3,UK,Compromised Vendor,40.5
207,Wilson-Richards,Retail,Supply Chain Attack,2018-04-29,5429751.0,6320951.024999999,Netherlands,DDoS Attack,12.0
208,Cole Ltd,Manufacturing,Data Breach,2019-04-13,677594.0,5325792.186000001,UK,Phishing,72.8
209,"Wright, Gonzalez and Watson",Manufacturing,Data Breach,2019-06-17,9533514.0,5555104.009,Netherlands,Phishing,32.199999999999996
210,Thompson-Johnson,Manufacturing,Supply Chain Attack,2019-07-03,2847188.0,4322416.176,Belgium,Phishing,72.8
211,Perry-Scott,Tech,Denial of Service,2019-07-11,1958589.0,4950672.06,Belgium,Spear Phishing,27.0
212,Wilson-Ruiz,Manufacturing,Malware,2018-06-14,4640801.0,216537.52899999998,Belgium,Phishing,42.0
213,"Maldonado, Kennedy and Caldwell",Healthcare,Denial of Service,2018-08-21,138987.0,1496745.84,Sweden,DDoS Attack,78.0
214,Sims LLC,Healthcare,Data Breach,2018-12-06,2620740.0,8875439.4,Sweden,DDoS Attack,66.0
215,Vaughan Group,Healthcare,Data Breach,2018-02-15,,9974157.98,Belgium,DDoS Attack,21.0
216,Smith-Hamilton,Retail,Data Breach,2019-06-23,5759470.0,6129473.865,UK,DDoS Attack,31.200000000000003
217,Cruz LLC,Healthcare,Ransomware,2018-08-25,715132.0,9724788.12,Sweden,Phishing,33.0
218,Perez Group,Manufacturing,Ransomware,2019-05-21,8614995.0,6393834.954,Belgium,Compromised Vendor,57.4
219,"Singh, Estes and Lewis",Retail,Malware,2019-04-13,1652125.0,4253978.550000001,Sweden,Insider Threat,9.600000000000001
220,Henderson Inc,Healthcare,Phishing,2019-06-24,7781774.0,6400420.76,UK,Phishing,87.0
221,Gonzalez-Ballard,Telecommunications,Data Breach,2019-10-05,2261877.0,5851212.756,Spain,Insider Threat,28.6
222,Shepard-Mckee,Tech,Supply Chain Attack,2018-06-01,6411923.0,2702655.09,Italy,Phishing,12.0
223,Walker-Johnson,Manufacturing,Phishing,2019-10-14,7199963.0,1388707.5670000003,Belgium,Malware Infection,12.6
224,Lopez Group,Healthcare,Denial of Service,2018-05-06,,5213098.24,Netherlands,Phishing,81.0
225,Jones-Boyd,Telecommunications,Data Breach,2019-10-03,,5056273.032000001,Belgium,Phishing,44.0
226,Bailey Inc,Telecommunications,Denial of Service,2018-12-20,1943409.0,2178730.812,Spain,Phishing,12.100000000000001
227,Delgado and Sons,Manufacturing,Data Breach,2018-07-06,,1988072.2030000002,Belgium,Compromised Vendor,64.39999999999999
228,"Hawkins, Williams and Smith",Retail,Ransomware,2019-01-08,850885.0,650488.92,Sweden,DDoS Attack,8.0
229,Wise Inc,Finance,Ransomware,2018-08-13,4464080.0,3082945.14,Spain,Compromised Vendor,44.0
230,Nunez-Garcia,Manufacturing,Phishing,2018-03-24,1965523.0,3366312.651,Belgium,Insider Threat,44.8
231,Leonard Inc,Retail,Phishing,2019-01-01,,6899721.165000001,UK,Insider Threat,31.200000000000003
232,"Lewis, Price and Carter",Manufacturing,Supply Chain Attack,2019-11-04,4836202.0,957165.755,Belgium,Compromised Vendor,25.2
